State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS,SUBGRID,el_src_h1,el_sit_h1,el_sit_sub_h1,el_del_h1,el_src_c1,el_sit_c1,el_sit_sub_c1,el_del_c1,ng_src_h1,ng_sit_h1,ng_del_h1,ng_src_c1,ng_sit_c1,ng_del_c1,el_src_h2,el_sit_h2,el_sit_sub_h2,el_del_h2,el_src_c2,el_sit_c2,el_sit_sub_c2,el_del_c2,ng_src_h2,ng_sit_h2,ng_del_h2,ng_src_c2,ng_sit_c2,ng_del_c2,el_sit_t1,ng_sit_t1,el_sit_t2,ng_sit_t2,STATE,h1_emissions,c1_emissions,t1_emissions,h2_emissions,c2_emissions,t2_emissions,h1_cost,c1_cost,t1_cost,h2_cost,c2_cost,t2_cost,emissions_comparison,cost_comparison,h1_cop,elec_price,ng_price,ratio_price,grid_emissions
AL,G0100010,Maxwell Afb,722265,32.38,-86.35,36112,1001,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.000264764,0.000440628,0.000705392,0.000283842,0.000420014,0.000703856,0.049475193,0.093483513,0.142958705,0.08282317,0.089110015,0.171933185,0.002181522,-0.168521741,2.928176796,28.83939039,15.43876567,1.867985499,0.129
AL,G0100030,Mobile Downtown Ap,722235,30.63,-88.07,36605,1003,SRSO,1.09,0.34,0.145,1.11,11.52,3.64,0.015,24.12,0,0,0,0,0,0,0,0,0.15,0,10.95,3.46,0.01,24.37,1.29,1.19,1.13,0,0,0,33.56,18.86,33.03,20.05,AL,6.25E-05,0.000468973,0.00053146,5.97E-05,0.000445782,0.000505459,0.009293683,0.099497072,0.108790755,0.017413352,0.094576887,0.111990239,0.051439696,-0.028569316,3.264705882,28.83939039,15.43876567,1.867985499,0.129
GA,G0100050,Fort Benning Lawson,722250,32.35,-85,36856,1005,SRSO,6.51,2.06,0.285,5.51,8.39,2.65,0.085,17.91,0,0,0,0,0,0,0,0,0.27,0,7.87,2.49,0.04,18.07,6.38,5.88,5.59,0,0,0,34.49,18.98,32.21,24.86,AL,0.000302127,0.000341423,0.000643549,0.000294875,0.000320808,0.000615683,0.056308783,0.072436055,0.128744838,0.086042445,0.068062558,0.154105003,0.045260221,-0.164564189,2.674757282,28.83939039,15.43876567,1.867985499,0.129
AL,G0100070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1007,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.000205498,0.00035946,0.000564958,0.000203604,0.000341423,0.000545027,0.03717473,0.076262866,0.113437596,0.05941026,0.072436055,0.131846315,0.036568835,-0.139622552,2.801470588,28.83939039,15.43876567,1.867985499,0.129
AL,G0100090,Birmingham Municipal Ap,722280,33.57,-86.75,35217,1009,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52,AL,0.000256219,0.000306956,0.000563175,0.000277824,0.000290466,0.000568291,0.048108474,0.066149152,0.114257627,0.081067202,0.062595686,0.143662887,-0.009002089,-0.204682371,2.954545455,28.83939039,15.43876567,1.867985499,0.127
AL,G0100110,Troy Af,722267,31.87,-86.02,,1011,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61,AL,0.000134636,0.00036719,0.000501827,0.000134399,0.000347864,0.000482263,0.022960863,0.077902927,0.10086379,0.039216625,0.073802773,0.113019398,0.040565904,-0.107553287,3,28.83939039,15.43876567,1.867985499,0.129
AL,G0100130,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1013,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.000192614,0.000353018,0.000545632,0.000222159,0.000336269,0.000558428,0.034987981,0.074896148,0.109884129,0.064824495,0.071342681,0.136167176,-0.022914894,-0.19302043,3.25,28.83939039,15.43876567,1.867985499,0.129
AL,G0100150,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1015,SRTV,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17,AL,0.000231485,0.000229583,0.000461068,0.000259771,0.000216898,0.000476669,0.042914946,0.049475193,0.092390138,0.075799297,0.046741756,0.122541053,-0.032730249,-0.246047459,3.101910828,28.83939039,15.43876567,1.867985499,0.127
AL,G0100170,Auburn Opelika Apt,722284,32.62,-85.43,36801,1017,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92,AL,0.000277003,0.000235775,0.000512778,0.000299388,0.000217737,0.000517126,0.051661941,0.05002188,0.101683821,0.087359421,0.046195069,0.133554491,-0.008407527,-0.238634204,2.957671958,28.83939039,15.43876567,1.867985499,0.129
AL,G0100190,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1019,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.000374816,0.000157283,0.000532099,0.000428271,0.000149673,0.000577943,0.072436055,0.033894607,0.106330662,0.124966408,0.032254545,0.157220954,-0.079323653,-0.323686444,3.022641509,28.83939039,15.43876567,1.867985499,0.127
AL,G0100210,Maxwell Afb,722265,32.38,-86.35,36112,1021,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.000264764,0.000440628,0.000705392,0.000283842,0.000420014,0.000703856,0.049475193,0.093483513,0.142958705,0.08282317,0.089110015,0.171933185,0.002181522,-0.168521741,2.928176796,28.83939039,15.43876567,1.867985499,0.129
MS,G0100230,Meridian Key Field,722340,32.33,-88.75,39307,1023,SRSO,5.53,1.75,0.25,5.39,7.47,2.36,0.07,14.83,0,0,0,0,0,0,0,0,0.24,0,7.14,2.26,0.04,14.98,6.22,5.74,5.45,0,0,0,33.85,18.99,31.95,24.73,AL,0.000257677,0.000304059,0.000561737,0.000287854,0.000291175,0.00057903,0.047835131,0.064509091,0.112344222,0.083993815,0.061775655,0.14576947,-0.029865272,-0.22930212,3.08,28.83939039,15.43876567,1.867985499,0.129
MS,G0100250,Meridian Key Field,722340,32.33,-88.75,39307,1025,SRSO,5.53,1.75,0.25,5.39,7.47,2.36,0.07,14.83,0,0,0,0,0,0,0,0,0.24,0,7.14,2.26,0.04,14.98,6.22,5.74,5.45,0,0,0,33.85,18.99,31.95,24.73,AL,0.000257677,0.000304059,0.000561737,0.000287854,0.000291175,0.00057903,0.047835131,0.064509091,0.112344222,0.083993815,0.061775655,0.14576947,-0.029865272,-0.22930212,3.08,28.83939039,15.43876567,1.867985499,0.129
AL,G0100270,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1027,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17,AL,0.000235131,0.000233198,0.000468329,0.000259771,0.000220314,0.000480085,0.042914946,0.049475193,0.092390138,0.075799297,0.046741756,0.122541053,-0.024487993,-0.246047459,3.101910828,28.83939039,15.43876567,1.867985499,0.129
AL,G0100290,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1029,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17,AL,0.000235131,0.000233198,0.000468329,0.000259771,0.000220314,0.000480085,0.042914946,0.049475193,0.092390138,0.075799297,0.046741756,0.122541053,-0.024487993,-0.246047459,3.101910828,28.83939039,15.43876567,1.867985499,0.129
AL,G0100310,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1031,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.000233842,0.000346576,0.000580418,0.000243723,0.00032725,0.000570974,0.043461633,0.07352943,0.116991063,0.071116715,0.069429276,0.140545991,0.016541658,-0.16759587,2.86163522,28.83939039,15.43876567,1.867985499,0.129
AL,G0100330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1033,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.000291735,0.000284124,0.000575859,0.000310923,0.000267635,0.000578558,0.055488752,0.061228968,0.116717719,0.090725027,0.057675501,0.148400528,-0.004664151,-0.213495255,2.857142857,28.83939039,15.43876567,1.867985499,0.127
AL,G0100350,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1035,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.000192614,0.000353018,0.000545632,0.000222159,0.000336269,0.000558428,0.034987981,0.074896148,0.109884129,0.064824495,0.071342681,0.136167176,-0.022914894,-0.19302043,3.25,28.83939039,15.43876567,1.867985499,0.129
AL,G0100370,Maxwell Afb,722265,32.38,-86.35,36112,1037,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.000264764,0.000440628,0.000705392,0.000283842,0.000420014,0.000703856,0.049475193,0.093483513,0.142958705,0.08282317,0.089110015,0.171933185,0.002181522,-0.168521741,2.928176796,28.83939039,15.43876567,1.867985499,0.129
