Showers,Sinks,CW,DW,Baths
,,,,
,,,,
,,,,
,0.0073662,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0103127,,,
,0.0122971,,,
,,,,
,,,,
,,,,
,0.0768791,,,
,0.1385148,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.1682568,,,,
0.2523852,,,,
,0.0015334,,,
0.2394116,0.0702946,,,
0.2394116,0.0744437,,,
,0.1188514,,,
,0.001353,,,
,0.0023452,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0192423,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0911305,,,
,,,,
,,0.0457748,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0342496,,
0.30963,,,,
0.30963,,,,
0.123852,0.0659651,,,
,,,,
,,,,
,,,,
,,,,
,,0.0668703,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0647625,,,
,,0.0023824,,
,0.1011425,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.04546,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0057727,,,
,0.0426638,,,
,0.1008118,,,
,,,,
,,,,
,,,,
,,,,
0.0443156,,,,
0.443156,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0005412,,,
,,,,
,0.0028863,,,
,0.0112748,,,
,0.0063139,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.06177,0.0025857,,,
0.43239,,,,
,,,,
,0.0090499,,,
0.44115,0.0026158,,,
0.308805,,,,
,0.1140108,,,
,0.0809681,,,
,0.0411606,,,
,0.0758267,,,
,0.0469032,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.0492198,,,,
0.2953188,0.0012928,,,
,,,,
0.0255907,,,,
0.1279535,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0094408,,,
,0.0275105,,,
,,,,
,0.0174083,,,
,0.0323512,,,
,,,,
,,,,
,,,0.0793774,
,,,0.0585214,
,,,0.10786,
,,,,
,0.0431149,,,
,,,,
,0.1105833,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0009621,,,
,,,,
,0.0445881,,,
,0.0426337,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0556224,,,
,,,,
,,,,
,,,,
,,,,
,0.0286229,,,
,0.0062538,,,
,,,,
,,,,
